brand,model,type,interface,capacity,price_per_gb,color,price
adata,ahv620-2tu3-cbk,portable,usb 3.0,{'total': 2000000000000},"['usd', '0.00']",,0.0
adata,ahv620-500gu3-cbk,portable,usb 3.0,{'total': 500000000000},"['usd', '0.00']",,0.0
adata,ch11,portable,usb 3.0,{'total': 500000000000},"['usd', '0.00']",,0.0
adata,dashdrive,portable,usb 3.0,{'total': 1000000000000},"['usd', '0.00']",,0.0
adata,dashdrive durable hd650,portable,usb 3.0,{'total': 1000000000000},"['usd', '0.057']",,0.0
adata,dashdrive se720,portable,usb 3.0,{'total': 128000000000},"['usd', '0.00']",,0.0
adata,sd600,portable,usb 3.0,{'total': 512000000000},"['usd', '0.00']",,0.0
adata,sd700,portable,usb 3.0,{'total': 1000000000000},"['usd', '0.130']",,0.0
adata,se730,portable,usb type-c,{'total': 250000000000},"['usd', '0.917']",,0.0
adata,sh14,portable,usb 3.0,{'total': 1000000000000},"['usd', '0.00']",,0.0
apricom,assd-3pl256-120f,desktop,usb 2.0,{'total': 120000000000},"['usd', '0.00']",,0.0
apricom,assd-3pl256-240f,desktop,usb 2.0,{'total': 240000000000},"['usd', '0.833']",,0.0
apricom,assd-3pl256-480f,desktop,usb 2.0,{'total': 480000000000},"['usd', '0.623']",,0.0
apricom,aegis bio,portable,usb 3.0,{'total': 1000000000000},"['usd', '0.234']",,0.0
apricom,aegis bio 3.0,portable,usb 3.0,{'total': 512000000000},"['usd', '0.00']",,0.0
apricom,aegis padlock,portable,usb 2.0,{'total': 1000000000000},"['usd', '0.00']",black,0.0
apricom,aegis padlock dt,portable,usb 3.0,{'total': 14000000000000},"['usd', '0.00']",black,0.0
apricom,aegis padlock fortress,portable,usb 3.0,{'total': 1000000000000},"['usd', '0.216']",black,0.0
apricom,aegis portable 3.0,portable,usb 3.0,{'total': 500000000000},"['usd', '0.00']",black,0.0
apricom,apricorn aegis padlock,portable,usb 3.0,{'total': 128000000000},"['usd', '0.00']",black,0.0
asus,fx hdd,portable,usb 3.1,{'total': 1000000000000},"['usd', '0.00']",black,0.0
axiom,mobile-d,portable,usb 3.0,{'total': 750000000000},"['usd', '0.00']",black,0.0
axiom,usb3hd35s1tb-ax,desktop,usb 3.0,{'total': 1000000000000},"['usd', '0.00']",black,0.0
axiom,usb3hd35s250-ax,desktop,usb 3.0,{'total': 250000000000},"['usd', '0.00']",black,0.0
axiom,usb3hd35s2tb-ax,desktop,usb 3.0,{'total': 2000000000000},"['usd', '0.00']",black,0.0
axiom,usb3hd35s3tb-ax,desktop,usb 3.0,{'total': 3000000000000},"['usd', '0.00']",black,0.0
axiom,usb3hd35s500-ax,desktop,usb 3.0,{'total': 500000000000},"['usd', '0.00']",black,0.0
buffalo technology,americas ministation,portable,usb 3.0,{'total': 1000000000000},"['usd', '0.055']",black,0.0
buffalo technology,drivestation,desktop,thunderbolt,{'total': 256000000000},"['usd', '0.00']",black,0.0
buffalo technology,drivestation axis,desktop,usb 3.0,{'total': 1000000000000},"['usd', '0.228']",black,0.0
buffalo technology,drivestation axis velocity,desktop,usb 3.0,{'total': 1000000000000},"['usd', '0.072']",black,0.0
buffalo technology,drivestation combo 4,desktop,"usb 2.0, ieee 1394, ieee 1394b, esata 3gb/s",{'total': 2000000000000},"['usd', '0.185']",black,0.0
buffalo technology,drivestation duo,desktop,usb 3.0,{'total': 8000000000000},"['usd', '0.00']",black,0.0
buffalo technology,ministation,portable,usb 3.0,{'total': 1000000000000},"['usd', '0.00']",black,0.0
buffalo technology,ministation extreme,portable,usb 3.0,{'total': 500000000000},"['usd', '0.391']",black,0.0
buslink,crf-2t-u2,desktop,usb 2.0,{'total': 2000000000000},"['usd', '0.00']",black,0.0
buslink,csc-1t-u2,desktop,usb 2.0,{'total': 1000000000000},"['usd', '0.00']",black,0.0
buslink,csc-2t-u3,desktop,usb 3.0,{'total': 2000000000000},"['usd', '0.00']",black,0.0
buslink,ciphershield,desktop,usb 3.0,{'total': 6000000000000},"['usd', '0.242']",black,0.0
buslink,dl-4tsdu31g2,portable,usb 3.1,{'total': 4000000000000},"['usd', '0.161']",black,0.0
edge tech,edgdg-236236-pe,desktop,usb 3.0,{'total': 4000000000000},"['usd', '0.00']",black,0.0
g-technology,0g02530,desktop,"usb 3.0, ieee 1394b, esata 6gb/s",{'total': 2000000000000},"['usd', '0.00']",black,0.0
g-technology,0g02534,desktop,"usb 3.0, ieee 1394b, esata 6gb/s",{'total': 3000000000000},"['usd', '0.00']",black,0.0
g-technology,0g02538,desktop,"usb 3.0, ieee 1394b, esata 6gb/s",{'total': 4000000000000},"['usd', '0.00']",black,0.0
hp,hphdd2e30500as1-rbu,portable,usb 3.0,{'total': 500000000000},"['usd', '0.00']",black,0.0
hitachi,gst touro mobile pro,portable,usb 3.0,{'total': 500000000000},"['usd', '0.00']",black,0.0
hitachi,hgst touro desk,desktop,usb 3.0,{'total': 4000000000000},"['usd', '0.00']",black,0.0
hitachi,hgst touro desk pro,desktop,usb 3.0,{'total': 4000000000000},"['usd', '0.00']",black,0.0
hitachi,hgst touro mobile,portable,usb 3.0,{'total': 500000000000},"['usd', '0.00']",black,0.0
hitachi,hgst touro mobile pro,portable,usb 3.0,{'total': 1000000000000},"['usd', '0.00']",black,0.0
imation,apollo expert,portable,usb 3.0,{'total': 1000000000000},"['usd', '0.00']",black,0.0
